app_Brown	app_Cameron	app_Clegg	persfin	natecon	affect_fc	app_Afgh	MP_resign	gender	age	rent_own	memb_union	income	vote_intent
0	8	4	2	2	2	1	1	0	32	0	0	13	2
3	7	5	2	2	2	1	1	0	62	0	0	10	2
0	8	8	2	4	4	0	1	1	76	0	0	3	3
4	2	6	2	1	2	0	1	1	71	0	0	2	3
9	5	4	4	4	1	1	3	1	70	0	1	3	1
3	6	6	5	4	4	0	3	0	18	0	0	12	1
5	6	5	4	4	1	1	3	0	59	0	1	14	2
8	2	6	4	2	4	1	2	0	45	1	0	12	2
4	4	3	2	5	3	1	1	0	49	0	0	15	1
1	6	5	3	2	3	0	1	1	48	0	1	11	2
0	5	3	3	1	2	0	1	1	64	1	0	2	2
3	5	5	1	2	2	0	2	0	37	0	1	10	2
5	5	5	2	1	1	0	2	1	54	0	0	8	2
0	3	2	1	1	2	0	1	0	48	0	0	6	2
6	3	4	1	1	3	1	1	0	42	0	0	13	1
3	8	5	5	1	3	0	1	1	32	0	0	15	2
5	5	5	2	1	2	0	1	1	47	0	0	15	2
10	4	4	3	4	3	1	1	0	52	0	0	15	1
7	8	3	3	2	3	1	1	1	43	0	1	12	2
4	4	3	1	3	1	1	1	1	34	1	0	2	2
3	6	4	4	2	2	1	1	1	58	0	1	8	3
4	6	7	4	4	1	0	1	1	40	0	1	8	3
5	7	5	3	4	4	0	2	1	35	1	0	8	2
6	6	4	3	4	2	1	2	0	35	1	1	13	1
5	9	5	2	1	3	0	3	1	55	0	0	7	2
4	8	5	5	1	4	0	1	0	31	0	1	7	2
1	6	4	2	1	2	0	1	1	52	0	0	9	2
7	8	7	2	2	1	0	1	1	62	0	0	3	2
4	7	3	2	2	2	1	2	0	63	0	0	8	2
1	7	5	1	1	2	0	3	1	60	0	0	3	2
4	2	7	4	2	2	1	1	0	59	0	0	1	3
7	0	5	5	1	2	0	3	1	34	0	0	10	3
1	8	4	3	1	1	0	1	1	84	0	0	11	2
0	8	5	3	2	3	1	1	0	75	1	0	5	2
7	5	7	3	1	2	0	1	0	63	0	0	13	3
2	7	7	2	1	2	1	1	1	70	0	0	5	2
10	0	7	3	2	3	1	1	1	92	0	0	2	1
7	4	4	3	2	4	0	1	1	82	1	0	3	1
4	10	7	3	3	3	0	3	1	32	0	0	13	2
3	6	8	3	4	4	0	1	1	91	1	0	3	3
7	5	5	4	2	3	0	2	1	46	0	0	12	1
4	6	2	3	2	2	1	1	0	65	0	0	5	2
0	8	4	3	4	2	0	1	0	60	0	1	5	2
3	5	8	2	2	2	0	1	1	54	0	1	6	1
8	6	6	3	4	3	0	3	0	60	0	0	3	1
8	7	3	3	4	2	0	3	0	56	0	0	15	2
4	7	5	2	2	2	0	2	1	35	0	0	5	2
2	2	4	4	1	1	0	1	0	54	1	0	12	2
6	10	6	1	1	1	0	1	1	67	0	1	2	2
6	9	9	5	1	4	0	3	1	37	0	0	4	3
0	7	3	1	1	1	1	3	0	62	0	0	7	2
3	3	7	4	4	3	1	2	1	23	1	0	3	3
4	5	6	4	1	4	1	3	0	23	1	1	9	2
8	6	3	2	2	3	1	3	0	27	0	1	5	1
5	4	7	3	2	2	0	1	1	54	0	1	12	3
5	4	5	3	1	3	0	2	0	42	0	1	5	1
4	4	5	2	4	4	1	3	1	19	1	0	15	1
1	2	0	2	4	2	0	1	0	24	1	0	6	2
5	6	5	2	2	3	0	2	1	36	0	1	8	2
10	3	4	3	3	3	1	1	0	78	0	1	3	1
5	6	6	3	1	4	1	1	0	21	1	0	5	3
0	2	3	2	3	1	0	1	0	37	1	0	1	2
9	1	8	1	1	1	1	1	1	38	0	1	9	1
0	8	3	2	1	2	0	1	0	66	0	1	3	2
7	2	2	2	1	3	0	2	1	48	1	0	5	1
9	3	6	3	1	1	0	1	0	68	0	0	7	1
4	4	3	2	1	3	0	2	1	59	1	0	2	1
0	7	6	3	1	4	0	1	0	76	0	0	3	3
6	8	3	2	1	4	1	3	1	52	0	0	10	2
8	5	6	2	1	1	1	1	0	54	1	0	7	1
10	0	2	3	3	2	0	3	0	72	1	0	6	1
6	5	8	3	4	2	0	1	0	60	0	0	4	3
10	0	0	5	2	4	0	1	1	60	0	1	11	1
2	7	5	3	2	2	0	1	0	59	0	0	15	2
3	10	7	3	1	1	0	1	1	70	0	1	1	2
2	8	5	3	3	2	1	1	1	56	0	1	5	2
2	3	9	2	1	2	1	1	0	78	0	0	10	3
2	5	6	3	2	3	0	2	1	34	0	0	15	3
0	4	5	2	1	2	0	1	0	23	1	0	6	3
5	5	5	2	2	2	0	1	0	58	1	0	5	3
8	3	8	2	4	2	0	3	0	57	0	0	12	3
6	5	4	2	3	2	0	1	1	60	0	0	5	2
4	0	5	4	2	3	0	1	1	36	0	1	6	2
7	1	5	1	1	2	1	1	0	59	0	1	5	1
2	5	10	2	3	2	0	1	0	25	1	0	2	3
5	7	5	2	2	3	0	2	1	43	0	0	11	2
0	5	0	3	3	4	0	3	1	89	0	0	2	2
6	0	8	4	4	3	0	1	1	39	1	0	7	3
3	7	6	2	1	2	1	1	1	72	0	0	8	2
